rank,country,15/16,16/17,17/18,18/19,19/20,overall,teams
1,Spain,20.142,19.714,19.571,18.928,15.500,93.855,6
2,England,14.928,20.071,22.642,18.571,16.928,93.140,6
3,Italy,14.250,17.333,12.642,14.928,14.285,73.438,5
4,Germany,14.571,9.857,15.214,18.714,14.214,72.570,4
5,France,14.416,11.500,10.583,11.666,7.083,55.248,1
6,Portugal,8.083,9.666,10.900,10.300,9.000,47.949,1
7,Russia,9.200,12.600,7.583,4.666,4.333,38.382,0
8,Netherlands,9.100,2.900,8.600,9.400,8.000,38.000,1
9,Belgium,12.500,2.600,7.800,7.600,6.000,36.500,0
10,Austria,7.375,9.750,6.200,5.800,6.700,35.825,0
11,Scotland,4.375,4.000,6.750,9.750,8.250,33.125,1
12,Ukraine,5.500,8.000,5.600,7.200,6.800,33.100,2
13,Turkey,9.700,6.800,5.500,5.000,3.100,30.100,0
14,Denmark,8.500,5.250,4.875,5.125,4.125,27.875,0
15,Cyprus,5.500,7.000,6.125,5.125,4.000,27.750,0
16,Serbia,2.875,6.375,6.000,6.000,5.500,26.750,0
17,Switzerland,4.300,6.500,3.900,6.400,5.125,26.225,1
18,Croatia,5.125,5.125,5.750,4.375,5.300,25.675,1
19,Czech Republic,5.500,5.500,6.500,2.500,5.600,25.600,1
20,Greece,5.800,5.100,5.100,4.900,4.700,25.600,1
21,Israel,6.750,5.625,2.625,2.375,7.000,24.375,0
22,Norway,1.375,4.000,5.375,3.750,6.000,20.500,1
23,Sweden,2.750,5.375,4.125,5.750,2.500,20.500,0
24,Bulgaria,4.250,4.000,4.000,4.125,4.000,20.375,0
25,Romania,3.300,2.900,2.375,5.875,3.750,18.200,0
26,Azerbaijan,4.250,4.375,2.375,3.375,2.500,16.875,0
27,Kazakhstan,2.750,4.250,4.250,3.375,1.000,15.625,0
28,Hungary,1.875,1.625,3.250,4.500,4.250,15.500,0
29,Belarus,3.000,3.250,5.000,2.500,1.500,15.250,0
30,Poland,3.875,2.875,2.250,2.125,4.000,15.125,0
31,Slovenia,2.250,4.625,3.125,2.000,2.250,14.250,0
32,Slovakia,2.125,1.875,5.125,3.000,1.500,13.625,0
33,Liechtenstein,2.500,2.000,1.500,2.500,0.500,9.000,0
34,Lithuania,0.500,2.375,2.625,1.625,1.625,8.750,0
35,Luxembourg,0.750,0.875,2.625,3.000,1.000,8.250,0
36,Bosnia-Herzegovina,0.500,1.375,2.000,1.500,2.625,8.000,0
37,Ireland,2.625,1.125,1.000,1.250,1.875,7.875,0
38,North Macedonia,1.250,3.125,1.000,0.500,1.750,7.625,0
39,Armenia,1.125,0.625,1.500,2.750,1.375,7.375,0
40,Latvia,1.375,0.750,1.625,2.250,1.375,7.375,0
41,Albania,0.875,2.625,1.000,0.750,2.000,7.250,0
42,Northern Ireland,0.500,0.750,0.500,2.375,2.833,6.958,0
43,Georgia,1.125,0.125,1.625,2.250,1.750,6.875,0
44,Finland,1.750,1.250,0.875,1.625,1.375,6.875,0
45,Moldova,0.875,2.750,1.125,0.750,1.375,6.875,0
46,Malta,1.250,1.375,1.500,0.750,1.500,6.375,0
47,Faroe Islands,0.375,0.750,1.125,1.125,2.750,6.125,0
48,Kosovo,0.000,0.000,2.500,1.500,1.833,5.833,0
49,Gibraltar,1.500,0.500,1.000,1.000,1.666,5.666,0
50,Montenegro,0.875,1.125,0.375,1.000,1.625,5.000,0
51,Wales,1.000,0.500,1.000,1.000,1.500,5.000,0
52,Iceland,1.000,1.125,1.500,0.625,0.625,4.875,0
53,Estonia,1.375,0.625,0.500,0.875,1.375,4.750,0
54,Andorra,0.166,0.166,0.833,1.500,0.666,3.331,0
55,San Marino,0.000,0.166,0.500,0.000,0.500,1.166,0
