"rank","country","points season 22/23","points gained","points overall","teams remaining"
"1.(1.)",":gb-eng:England","0.000",-20.071,86.57,"0/0"
"2.(2.)",":es:Spain","0.000",-19.714,76.141,"0/0"
"3.(4.)",":de:Germany","0.000",-9.714,65.356,"0/0"
"4.(3.)",":it:Italy","0.000",-17.047,59.569,"0/0"
"5.(5.)",":fr:France","0.000",-11.5,48.581,"0/0"
"6.(7.)",":nl:Netherlands","0.000",-2.9,46.4,"0/0"
"7.(6.)",":pt:Portugal","0.000",-9.666,43.716,"0/0"
"8.(9.)",":gb-sct:Scotland","0.000",-3.8,32.9,"0/0"
"9.(8.)",":at:Austria","0.000",-9.75,29.1,"0/0"
"10.(13.)",":be:Belgium","0.000",-2.6,28,"0/0"
"11.(11.)",":rs:Serbia","0.000",-6.375,27,"0/0"
"12.(12.)",":ua:Ukraine","0.000",-8,23.8,"0/0"
"13.(17.)",":no:Norway","0.000",-4,23.25,"0/0"
"14.(14.)",":ch:Switzerland","0.000",-6.5,23.175,"0/0"
"15.(15.)",":gr:Greece","0.000",-5.1,23.1,"0/0"
"16.(16.)",":cz:Czech Republic","0.000",-5.5,22.3,"0/0"
"17.(19.)",":hr:Croatia","0.000",-5.125,22.025,"0/0"
"18.(18.)",":dk:Denmark","0.000",-5.25,21.925,"0/0"
"19.(10.)",":ru:Russia","0.000",-12.6,21.882,"0/0"
"20.(20.)",":tr:Turkey","0.000",-6.8,20.3,"0/0"
"21.(21.)",":cy:Cyprus","0.000",-7,19.375,"0/0"
"22.(22.)",":il:Israel","0.000",-5.625,18.75,"0/0"
"23.(23.)",":se:Sweden","0.000",-5.375,17.5,"0/0"
"24.(24.)",":bg:Bulgaria","0.000",-4,15.5,"0/0"
"25.(27.)",":hu:Hungary","0.000",-1.625,14.75,"0/0"
"26.(25.)",":ro:Romania","0.000",-2.9,14.25,"0/0"
"27.(30.)",":sk:Slovakia","0.000",-1.875,13.75,"0/0"
"28.(28.)",":pl:Poland","0.000",-2.875,13,"0/0"
"29.(26.)",":az:Azerbaijan","0.000",-4.375,12.625,"0/0"
"30.(29.)",":kz:Kazakhstan","0.000",-4.25,11.5,"0/0"
"31.(31.)",":si:Slovenia","0.000",-4.625,10.375,"0/0"
"32.(32.)",":by:Belarus","0.000",-3.25,9.25,"0/0"
"33.(33.)",":md:Moldova","0.000",-2.75,8.5,"0/0"
"34.(39.)",":xk:Kosovo","0.000",0,8.166,"0/0"
"36.(37.)",":lu:Luxembourg","0.000",-0.875,7.875,"0/0"
"35.(38.)",":lv:Latvia","0.000",-0.75,7.875,"0/0"
"37.(35.)",":ba:Bosnia-Herzegovina","0.000",-1.375,7.75,"0/0"
"38.(36.)",":fi:Finland","0.000",-1.25,7.625,"0/0"
"39.(34.)",":lt:Lithuania","0.000",-2.375,7.625,"0/0"
"40.(41.)",":am:Armenia","0.000",-0.625,7.5,"0/0"
"41.(42.)",":gb-nir:Northern Ireland","0.000",-0.75,7.333,"0/0"
"42.(40.)",":ie:Ireland","0.000",-1.125,7,"0/0"
"43.(47.)",":ge:Georgia","0.000",-0.125,6.875,"0/0"
"44.(44.)",":fo:Faroe Islands","0.000",-0.75,6.5,"0/0"
"45.(45.)",":ee:Estonia","0.000",-0.625,6.416,"0/0"
"46.(46.)",":mt:Malta","0.000",-1.375,5.625,"0/0"
"47.(43.)",":al:Albania","0.000",-2.625,5.375,"0/0"
"48.(50.)",":gb-wls:Wales","0.000",-0.5,5,"0/0"
"49.(51.)",":gi:Gibraltar","0.000",-0.5,4.916,"0/0"
"50.(49.)",":li:Liechtenstein","0.000",-2,4.5,"0/0"
"51.(54.)",":ad:Andorra","0.000",-0.166,4.499,"0/0"
"52.(52.)",":is:Iceland","0.000",-1.125,4.25,"0/0"
"53.(48.)",":mk:North Macedonia","0.000",-3.125,3.875,"0/0"
"54.(53.)",":me:Montenegro","0.000",-1.125,3.75,"0/0"
"55.(55.)",":sm:San Marino","0.000",-0.166,1.166,"0/0"
