"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Mura Murska Sobota","Slovenia",0.5,"not out",1.25,40,":si:","Slovenia: 1.25 points","Fazanerija City Stadium",46.668611,16.1575
"Napoli","Italy",0.571,"not out",2.286,25,":it:","Italy: 2.286 points","Stadio Diego Armando Maradona",40.827967,14.193008
"Neftchi Baku","Azerbaijan",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points","Bakcell Arena",40.400163,49.944019
"Newtown","Wales",0.333,"not out",1,33.3,":gb-wls:","Wales: 1 points","Latham Park",52.5115,-3.32288
"NK Koper","Slovenia",0,"not out",1.25,0,":si:","Slovenia: 1.25 points",,,
"NK Maribor","Slovenia",0.375,"not out",1.25,30,":si:","Slovenia: 1.25 points","Ljudski vrt",46.5625,15.640556
"NK Osijek","Croatia",0,"not out",0,,":hr:","Croatia: 0 points","Gradski Vrt Stadium",45.545,18.695833
"NK Rijeka","Croatia",0,"not out",0,,":hr:","Croatia: 0 points","Stadion Kantrida",45.339202,14.380959
"OGC Nice","France",0,"not out",1.333,0,":fr:","France: 1.333 points","Allianz Riviera",43.705138888,7.192583333
"Olimpija Ljubljana","Slovenia",0.375,"not out",1.25,30,":si:","Slovenia: 1.25 points","Stožice Stadium",46.081111,14.521389
"Olympiakos Piraeus","Greece",0,"not out",0,,":gr:","Greece: 0 points","Karaiskakis Stadium",37.946169,23.664536
"Olympique Marseille","France",0.667,"not out",1.333,50,":fr:","France: 1.333 points","Stade Vélodrome",43.269722222,5.395833333
"Omonia Nicosia","Cyprus",0,"not out",0,,":cy:","Cyprus: 0 points","Dasaki Stadium",35.033889,33.765
"Paide Linnameeskond","Estonia",0.333,"not out",0.667,50,":ee:","Estonia: 0.667 points","Paide linnastaadion",58.87845,25.54063
"Panathinaikos","Greece",0,"not out",0,,":gr:","Greece: 0 points","Apostolos Nikolaidis Stadium",37.987169444,23.754194444
"PAOK Thessaloniki","Greece",0,"not out",0,,":gr:","Greece: 0 points","Toumba Stadium",40.613839,22.972422
"Paris Saint-Germain","France",0.667,"not out",1.333,50,":fr:","France: 1.333 points","Parc des Princes",48.841388888,2.253055555
"Partizan Belgrade","Serbia",0,"not out",0,,":rs:","Serbia: 0 points","Partizan Stadium",44.788611,20.459167
"Partizani Tirana","Albania",0.25,"out",0.625,40,":al:","Albania: 0.625 points","Selman Stërmasi Stadium",41.31898056,19.81138333
"Petrocub Hîncesti","Moldova",0.375,"not out",1.125,33.3,":md:","Moldova: 1.125 points",,,
"Pogon Szczecin","Poland",0.25,"not out",1,25,":pl:","Poland: 1 points","Stadion Florian Kryger",53.43657611,14.51865806
"PSV Eindhoven","Netherlands",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points","Philips Stadion",51.4417,5.4674
"Puskás Akadémia","Hungary",0,"not out",0.375,0,":hu:","Hungary: 0.375 points","Pancho Arena",47.464,18.5868
"Pyunik Yerevan","Armenia",0.25,"not out",0.625,40,":am:","Armenia: 0.625 points","Alashkert Stadium",40.154605,44.475231
"Qarabag FK","Azerbaijan",0.25,"not out",0.25,100,":az:","Azerbaijan: 0.25 points","Karabakh Stadium",40.4212,49.9968
"Racing Union Luxembourg","Luxembourg",0,"not out",0.625,0,":lu:","Luxembourg: 0.625 points","Stade Achille Hammerel",49.604722222,6.140277777
"Radnicki Nis","Serbia",0,"not out",0,,":rs:","Serbia: 0 points","Cair Stadium",43.315528,21.908533
"Raków Czestochowa","Poland",0,"not out",1,0,":pl:","Poland: 1 points",,,
"Rangers","Scotland",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points","Ibrox Stadium",55.853055555,-4.309166666
"Rapid Wien","Austria",0,"not out",0.8,0,":at:","Austria: 0.8 points","Allianz Stadion",48.1981,16.2653
"RB Leipzig","Germany",0.5,"not out",2.5,20,":de:","Germany: 2.5 points","Zentralstadion",51.345833,12.348056
"Real Betis","Spain",0,"not out",2.286,0,":es:","Spain: 2.286 points","Ciudad Deportiva Luis Del Sol",37.3517,-5.98222
"Real Madrid","Spain",0.571,"not out",2.286,25,":es:","Spain: 2.286 points","Santiago Bernabéu",40.453053,-3.688344
"Real Sociedad","Spain",0,"not out",2.286,0,":es:","Spain: 2.286 points","Anoeta Stadium",43.301378,-1.973617
"RFS Riga","Latvia",0.25,"not out",1,25,":lv:","Latvia: 1 points","Latvijas Universitates Stadions",56.961479,24.1436899
"Riga FC","Latvia",0.5,"not out",1,50,":lv:","Latvia: 1 points","Skonto Stadium",56.961372,24.116408
"Royal Antwerp","Belgium",0,"not out",0.8,0,":be:","Belgium: 0.8 points","Stadion Broodstraat",51.2327,4.471575
"Saburtalo Tbilisi","Georgia",0.25,"not out",0.75,33.3,":ge:","Georgia: 0.75 points","Mikheil Meskhi Stadium",41.709617,44.746247
"SC Dnipro-1","Ukraine",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points",,,
"SC Freiburg","Germany",0,"not out",2.5,0,":de:","Germany: 2.5 points","Dreisamstadion",47.988889,7.893056
"SC Gjilani","Kosovo",0.25,"out",0.75,33.3,":xk:","Kosovo: 0.75 points","City Stadium",42.466667,21.464444
"Sepsi OSK","Romania",0,"not out",0.25,0,":ro:","Romania: 0.25 points","Stadionul Municipal",45.86291667,25.77613889
"Sevilla","Spain",0.571,"not out",2.286,25,":es:","Spain: 2.286 points","Ramón Sánchez Pizjuán Stadium",37.383878,-5.970467
"Sfântul Gheorghe","Moldova",0,"out",1.125,0,":md:","Moldova: 1.125 points","Suruceni Stadium",46.9844,28.667
"Shakhtar Donetsk","Ukraine",0.8,"not out",0.8,100,":ua:","Ukraine: 0.8 points","Donbass Arena",48.020833,37.809722
"Shakhtior Saligorsk","Belarus",0.125,"not out",0.5,25,":by:","Belarus: 0.5 points","Stroitel Stadium",52.798611111,27.538194444
"Shamrock Rovers","Ireland",0.375,"not out",0.625,60,":ie:","Ireland: 0.625 points","Tallaght Stadium",53.2835,-6.37374
"Sheriff Tiraspol","Moldova",0.375,"not out",1.125,33.3,":md:","Moldova: 1.125 points","Sheriff Stadium",46.838333,29.5575
"Shkendija Tetovo","North Macedonia",0.375,"not out",0.625,60,":mk:","North Macedonia: 0.625 points","Gradski stadion Tetovo",42.018692,20.978179
