"team","overall_points_team","country","overall_points_country","percentage","text"
"Arsenal",11.4285714285714,"England",99.2142857142857,0.115190784737221,"England: 99.214 points"
"Burnley FC",0.5,"England",99.2142857142857,0.00503959683225342,"England: 99.214 points"
"Chelsea",16.4285714285714,"England",99.2142857142857,0.165586753059755,"England: 99.214 points"
"Everton",0.928571428571429,"England",99.2142857142857,0.00935925125989921,"England: 99.214 points"
"Leicester City",2.28571428571429,"England",99.2142857142857,0.0230381569474442,"England: 99.214 points"
"Liverpool",17.4285714285714,"England",99.2142857142857,0.175665946724262,"England: 99.214 points"
"Manchester City",17.7142857142857,"England",99.2142857142857,0.178545716342693,"England: 99.214 points"
"Manchester United",14.7142857142857,"England",99.2142857142857,0.148308135349172,"England: 99.214 points"
"Tottenham Hotspur",12.6428571428571,"England",99.2142857142857,0.127429805615551,"England: 99.214 points"
"West Ham United",2,"England",99.2142857142857,0.0201583873290137,"England: 99.214 points"
"Wolverhampton Wanderers",3.14285714285714,"England",99.2142857142857,0.0316774658027358,"England: 99.214 points"
"Athletic Bilbao",1.92857142857143,"Spain",87,0.0221674876847291,"Spain: 87 points"
"Atlético Madrid",13.2857142857143,"Spain",87,0.152709359605911,"Spain: 87 points"
"Espanyol",2.21428571428571,"Spain",87,0.0254515599343186,"Spain: 87 points"
"FC Barcelona",15.4285714285714,"Spain",87,0.177339901477833,"Spain: 87 points"
"Getafe",1.57142857142857,"Spain",87,0.0180623973727422,"Spain: 87 points"
"Granada CF",2.5,"Spain",87,0.028735632183908,"Spain: 87 points"
"Real Betis",2.71428571428571,"Spain",87,0.0311986863711002,"Spain: 87 points"
"Real Madrid",15.8571428571429,"Spain",87,0.182266009852217,"Spain: 87 points"
"Real Sociedad",3.14285714285714,"Spain",87,0.0361247947454844,"Spain: 87 points"
"Sevilla",13.6428571428571,"Spain",87,0.156814449917898,"Spain: 87 points"
"Valencia",5.71428571428571,"Spain",87,0.0656814449917898,"Spain: 87 points"
"Villarreal",9,"Spain",87,0.103448275862069,"Spain: 87 points"
"AC Milan",6.95238095238095,"Italy",71.4761904761905,0.0972684876748834,"Italy: 71.476 points"
"AS Roma",13.0238095238095,"Italy",71.4761904761905,0.182211858760826,"Italy: 71.476 points"
"Atalanta",9.04761904761905,"Italy",71.4761904761905,0.126582278481013,"Italy: 71.476 points"
"Internazionale",9.28571428571429,"Italy",71.4761904761905,0.129913391072618,"Italy: 71.476 points"
"Juventus",15.4047619047619,"Italy",71.4761904761905,0.215522984676882,"Italy: 71.476 points"
"Lazio",7.83333333333333,"Italy",71.4761904761905,0.109593604263824,"Italy: 71.476 points"
"Napoli",9.42857142857143,"Italy",71.4761904761905,0.131912058627582,"Italy: 71.476 points"
"Torino",0.5,"Italy",71.4761904761905,0.00699533644237175,"Italy: 71.476 points"
"1.FC Köln",0.571428571428571,"Germany",69.2142857142857,0.00825593395252838,"Germany: 69.214 points"
"1899 Hoffenheim",3.28571428571429,"Germany",69.2142857142857,0.0474716202270382,"Germany: 69.214 points"
"Bayer Leverkusen",7.57142857142857,"Germany",69.2142857142857,0.109391124871001,"Germany: 69.214 points"
"Bayern München",18.7142857142857,"Germany",69.2142857142857,0.270381836945304,"Germany: 69.214 points"
"Borussia Dortmund",10.8571428571429,"Germany",69.2142857142857,0.156862745098039,"Germany: 69.214 points"
"Borussia Mönchengladbach",3,"Germany",69.2142857142857,0.043343653250774,"Germany: 69.214 points"
"Eintracht Frankfurt",6.85714285714286,"Germany",69.2142857142857,0.0990712074303406,"Germany: 69.214 points"
"Hertha BSC",0.571428571428571,"Germany",69.2142857142857,0.00825593395252838,"Germany: 69.214 points"
